Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
1162/2026 - DEPAC-DDOS;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);ALFABETIZADO;BRANCA;17.0
972/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Vila Marcos Roberto;MS;Campo Grande;5002704;2026;06/02/2026;21:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;35.0
972/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Vila Marcos Roberto;MS;Campo Grande;5002704;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;BRANCA;44.0
106/2026 - 1DP-FATIMA DO SUL;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CENTRO;MS;Fatima do Sul;5003801;2026;06/02/2026;18:55:00;AUTOR;MASCULINO;N/I;ALFABETIZADO;BRANCA;65.0
106/2026 - 1DP-FATIMA DO SUL;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CENTRO;MS;Fatima do Sul;5003801;2026;06/02/2026;18:55:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;34.0
948/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Jardim Parati;MS;Campo Grande;5002704;2026;06/02/2026;18:30:00;VÍTIMA;FEMININO;N/I;SUPERIOR INCOMPLETO;PARDA;31.0
948/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Parati;MS;Campo Grande;5002704;2026;06/02/2026;18:30:00;VÍTIMA;FEMININO;N/I;SUPERIOR INCOMPLETO;PARDA;31.0
948/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Parati;MS;Campo Grande;5002704;2026;06/02/2026;18:30:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;19.0
948/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Jardim Parati;MS;Campo Grande;5002704;2026;06/02/2026;18:30:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;19.0
948/2026 - 1DEAM;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;Jardim Parati;MS;Campo Grande;5002704;2026;06/02/2026;18:30:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;19.0
948/2026 - 1DEAM;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;Jardim Parati;MS;Campo Grande;5002704;2026;06/02/2026;18:30:00;VÍTIMA;FEMININO;N/I;SUPERIOR INCOMPLETO;PARDA;31.0
1233/2026 - DEPAC-CEPOL-CG;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;Taquaral Bosque;MS;Campo Grande;5002704;2026;06/02/2026;17:59:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PRETA;13.0
1233/2026 - DEPAC-CEPOL-CG;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;Taquaral Bosque;MS;Campo Grande;5002704;2026;06/02/2026;17:59:00;AUTOR;FEMININO;N/I;SUPERIOR INCOMPLETO;PRETA;33.0
225/2026 - DP-SIDROLANDIA;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;SAO BENTO;MS;Sidrolandia;5007901;2026;06/02/2026;17:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;45.0
225/2026 - DP-SIDROLANDIA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;SAO BENTO;MS;Sidrolandia;5007901;2026;06/02/2026;17:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;45.0
225/2026 - DP-SIDROLANDIA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;SAO BENTO;MS;Sidrolandia;5007901;2026;06/02/2026;17:30:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;38.0
225/2026 - DP-SIDROLANDIA;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;SAO BENTO;MS;Sidrolandia;5007901;2026;06/02/2026;17:30:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;38.0
225/2026 - DP-SIDROLANDIA;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;SAO BENTO;MS;Sidrolandia;5007901;2026;06/02/2026;17:30:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;38.0
225/2026 - DP-SIDROLANDIA;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;SAO BENTO;MS;Sidrolandia;5007901;2026;06/02/2026;17:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;45.0
1047/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Vila Nova Campo Grande;MS;Campo Grande;5002704;2026;06/02/2026;16:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PRETA;50.0
1047/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Vila Nova Campo Grande;MS;Campo Grande;5002704;2026;06/02/2026;16:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;44.0
938/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Conjunto Aero Rancho;MS;Campo Grande;5002704;2026;06/02/2026;15:22:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;33.0
938/2026 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;Conjunto Aero Rancho;MS;Campo Grande;5002704;2026;06/02/2026;15:22:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;33.0
938/2026 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;Conjunto Aero Rancho;MS;Campo Grande;5002704;2026;06/02/2026;15:22:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;BRANCA;34.0
938/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Conjunto Aero Rancho;MS;Campo Grande;5002704;2026;06/02/2026;15:22:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;BRANCA;34.0
59/2026 - DAM-NOVA ANDRADINA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;GUIOMAR SOARES ANDRADE;MS;Nova Andradina;5006200;2026;06/02/2026;12:46:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;N/I;24.0
59/2026 - DAM-NOVA ANDRADINA;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;GUIOMAR SOARES ANDRADE;MS;Nova Andradina;5006200;2026;06/02/2026;12:46:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;BRANCA;35.0
59/2026 - DAM-NOVA ANDRADINA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;GUIOMAR SOARES ANDRADE;MS;Nova Andradina;5006200;2026;06/02/2026;12:46:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;BRANCA;35.0
59/2026 - DAM-NOVA ANDRADINA;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;GUIOMAR SOARES ANDRADE;MS;Nova Andradina;5006200;2026;06/02/2026;12:46:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;N/I;24.0
