Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
3259/2025 - 1DP-CORUMBA;FEMINICIDIO - REVOGADO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;CORUMBÁ;5003207;2025;02/08/2025;20:20:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;32.0
3259/2025 - 1DP-CORUMBA;FEMINICIDIO - REVOGADO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;CORUMBÁ;5003207;2025;02/08/2025;20:20:00;VÍTIMA;FEMININO;BRASILEIRO(A);ALFABETIZADO;PARDA;22.0
976/2025 - DP-RIBAS RIO PARDO;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;RIBAS DO RIO PARDO;5007109;2025;31/07/2025;15:40:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;41.0
976/2025 - DP-RIBAS RIO PARDO;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;RIBAS DO RIO PARDO;5007109;2025;31/07/2025;15:40:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;N/I;44.0
1615/2025 - 1DP-NAVIRAÍ;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;RESIDENCIAL SOL NASCENTE;MS;NAVIRAI;5005707;2025;25/07/2025;22:31:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;41.0
1615/2025 - 1DP-NAVIRAÍ;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;RESIDENCIAL SOL NASCENTE;MS;NAVIRAI;5005707;2025;25/07/2025;22:31:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;35.0
229/2025 - DP-GLÓRIA DOURADOS;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;GLÓRIA DE DOURADOS;5004007;2025;03/07/2025;20:20:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;N/I;21.0
229/2025 - DP-GLÓRIA DOURADOS;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;GLÓRIA DE DOURADOS;5004007;2025;03/07/2025;20:20:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;47.0
1075/2025 - DP-COSTA RICA;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;COSTA RICA;5003256;2025;27/06/2025;19:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;N/I;40.0
1075/2025 - DP-COSTA RICA;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;COSTA RICA;5003256;2025;27/06/2025;19:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;41.0
