Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
44/2026 - DAM-CORUMBA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA GUARANI;MS;CORUMBÁ;5003207;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;28.0
688/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;TAQUARUSSU;MS;CAMPO GRANDE;5002704;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;30.0
688/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;TAQUARUSSU;MS;CAMPO GRANDE;5002704;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;BRANCA;20.0
52/2026 - DP-ELDORADO;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;CENTRO;MS;ELDORADO;5003751;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;29.0
52/2026 - DP-ELDORADO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CENTRO;MS;ELDORADO;5003751;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;26.0
52/2026 - DP-ELDORADO;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CENTRO;MS;ELDORADO;5003751;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;29.0
52/2026 - DP-ELDORADO;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CENTRO;MS;ELDORADO;5003751;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;26.0
52/2026 - DP-ELDORADO;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;CENTRO;MS;ELDORADO;5003751;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;26.0
52/2026 - DP-ELDORADO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CENTRO;MS;ELDORADO;5003751;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;29.0
134/2026 - DP-MARACAJU;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CAMBARAI;MS;MARACAJU;5005400;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;BRANCA;44.0
134/2026 - DP-MARACAJU;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CAMBARAI;MS;MARACAJU;5005400;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;23.0
660/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;SANTO ANTONIO;MS;CAMPO GRANDE;5002704;2026;26/01/2026;12:54:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;58.0
660/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;SANTO ANTONIO;MS;CAMPO GRANDE;5002704;2026;26/01/2026;12:54:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;47.0
662/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CONJUNTO AERO RANCHO;MS;CAMPO GRANDE;5002704;2026;26/01/2026;12:50:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR COMPLETO;PARDA;42.0
662/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CONJUNTO AERO RANCHO;MS;CAMPO GRANDE;5002704;2026;26/01/2026;12:50:00;AUTOR;MASCULINO;BRASILEIRO(A);SUPERIOR INCOMPLETO;BRANCA;40.0
120/2026 - DP-RIO BRILHANTE;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;VILA FATIMA;MS;RIO BRILHANTE;5007208;2026;26/01/2026;12:38:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;39.0
120/2026 - DP-RIO BRILHANTE;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;VILA FATIMA;MS;RIO BRILHANTE;5007208;2026;26/01/2026;12:38:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;16.0
43/2026 - DP-NIOAQUE;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;BAIA;MS;NIOAQUE;5005806;2026;26/01/2026;11:18:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;69.0
43/2026 - DP-NIOAQUE;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;BAIA;MS;NIOAQUE;5005806;2026;26/01/2026;11:18:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;69.0
43/2026 - DP-NIOAQUE;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;BAIA;MS;NIOAQUE;5005806;2026;26/01/2026;11:18:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;69.0
43/2026 - DP-NIOAQUE;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;BAIA;MS;NIOAQUE;5005806;2026;26/01/2026;11:18:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;20.0
43/2026 - DP-NIOAQUE;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;BAIA;MS;NIOAQUE;5005806;2026;26/01/2026;11:18:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;20.0
43/2026 - DP-NIOAQUE;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;BAIA;MS;NIOAQUE;5005806;2026;26/01/2026;11:18:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;20.0
